donor_id,received_date,check_date,paid_out_date,gross_amount,processing_fee,net_amount,campus,campus_imputed,payment_method,week_end_sunday,
164285822,2025-05-18,2025-05-06,,200,,200,Bucks County Community Church,TRUE,Check,2025-05-18,
161436507,2025-05-18,2025-05-18,,75,,75,Bucks County Community Church,TRUE,Check,2025-05-18,
142658536,2025-05-18,2025-05-18,,500,,500,Bucks County Community Church,TRUE,Check,2025-05-18,
13699286,2025-05-18,2025-05-17,,670,,670,Bucks County Community Church,TRUE,Check,2025-05-18,
13151204,2025-05-18,2025-05-18,,500,,500,Bucks County Community Church,FALSE,Check,2025-05-18,
13151204,2025-05-18,2025-05-18,,200,,200,Bucks County Community Church,FALSE,Check,2025-05-18,
147071159,2025-05-18,2025-05-18,,25,,25,Bucks County Community Church,FALSE,Check,2025-05-18,
142658543,2025-05-18,2025-05-18,,50,,50,Bucks County Community Church,TRUE,Check,2025-05-18,
147878502,2025-05-18,2025-05-18,,250,,250,Bucks County Community Church,TRUE,Check,2025-05-18,
25197948,2025-05-18,2025-05-18,,200,,200,Bucks County Community Church,FALSE,Check,2025-05-18,
25197995,2025-05-18,2025-05-08,,20,,20,Bucks County Community Church,TRUE,Check,2025-05-18,
169673807,2025-05-18,2025-05-14,,100,,100,Bucks County Community Church,TRUE,Check,2025-05-18,
142660275,2025-05-18,2025-04-29,,450,,450,Bucks County Community Church,FALSE,Check,2025-05-18,
25198042,2025-05-18,2025-05-19,,370,,370,Bucks County Community Church,FALSE,Check,2025-05-18,
142658572,2025-05-18,2025-05-18,,110,,110,Bucks County Community Church,FALSE,Check,2025-05-18,
168775363,2025-05-18,2025-05-18,,55,,55,Bucks County Community Church,TRUE,Check,2025-05-18,
142658579,2025-05-18,2025-05-18,,100,,100,Bucks County Community Church,TRUE,Check,2025-05-18,
143622757,2025-05-18,2025-05-18,,50,,50,Bucks County Community Church,TRUE,Check,2025-05-18,
142658600,2025-05-18,2025-05-18,,100,,100,Bucks County Community Church,TRUE,Check,2025-05-18,
25198081,2025-05-18,2025-05-13,,300,,300,Bucks County Community Church,TRUE,Check,2025-05-18,
25198081,2025-05-18,2025-05-13,,400,,400,Bucks County Community Church,TRUE,Check,2025-05-18,
142658602,2025-05-18,2025-05-18,,86,,86,Bucks County Community Church,TRUE,Check,2025-05-18,
142658602,2025-05-18,2025-05-18,,350,,350,Bucks County Community Church,TRUE,Check,2025-05-18,
161221704,2025-05-18,2025-05-18,,25,,25,Bucks County Community Church,TRUE,Check,2025-05-18,
161087064,2025-05-18,2025-05-13,,100,,100,Bucks County Community Church,TRUE,Check,2025-05-18,
154998610,2025-05-18,2025-05-18,,750,,750,Bucks County Community Church,TRUE,Check,2025-05-18,
142658636,2025-05-18,2025-05-18,,50,,50,Bucks County Community Church,TRUE,Check,2025-05-18,
142658639,2025-05-18,2025-05-14,,604,,604,Bucks County Community Church,TRUE,Check,2025-05-18,
169674634,2025-05-18,2025-05-18,,10000,,10000,Bucks County Community Church,TRUE,Check,2025-05-18,
